QUOTES: [
	""Быть богатым - значит довольствоваться тем, что имеешь.":::-Сожжённый проповедник",
	""Солнце — золотая колесница Магны Ивальтара. На рассвете он ведет Авари в схватку с Авери и оттесняет их обратно в пустоту. На закате же он убит, и сила его разлетается по ночному небу в виде крупиц света. Там они и останутся, пока не наступит Сотеринг, конец времен.":::-Саммерион 1:48",
	""Так, Авари были ниспосланы на земли Астари, чтобы распространять порядок и свет на землях поднебесных":::-Саммерион 2:12",
	""В ту эпоху Астари создали множество красивых живых существ, мы больше никогда не встретим ничего на них похожее. Величественные, крылатые звери с белоснежным мехом; безмятежные рыбы, длиной в три галеры; и деревья, тянущиеся к небу, выше, чем глаз видит.":::-Саммерион 3:11",
	""Тем не менее Аминион, в своей гордыне, не обращая внимания на волю Авари, продвинулся еще глубже в пещеры земли, где царила тьма и воля Авери. Там злоба полностью овладела им.":::-Саммерион 3:64",
	""Аминион собрал в своем войске величественных крылатых ящеров, гигантских червей и змей, а также насекомых размером с Онкс. По мере их столкновения с Канторами у подножия горы Админион, земля задрожала, а из ее вершины извергся огонь. Этот огонь поглотил всё великое творение и превратил его в пепел.":::-Саммерион 4:78",
	""И так, Аминион был лишен своей брони и скован цепями. Астари возвели гору над его темницей, возвышавшуюся до небес. Были наложены защитные заклинания, чтобы он не мог покинуть её самостоятельно. Там он останется на протяжении тысячелетия.":::-Саммерион 5:6",
	""Их первым созданием были Дондорианы. Сделанные для добычи в горах и охраны снежных переходов от оставшихся существ Аминиона. Кратор даровал им навык создания предметов.":::-Саммерион 6:12",
	""В отличие от предыдущих, Астари даровали людям дар мысли, выбора и благоразумия. Люди могли выбирать свой собственный путь. Они были созданы как истинные дети Астари.":::-Саммерион 7:102",
	""Этот великий король Аллутар теперь был владыкой всего, и в его столице лежали горы сокровищ и богатств. Короли Дондориан подчинились ему, Кретонианы с равнин стали его вассалами, а Тилапи из восточного леса боялись его имени. Да, его жажда не удовлетворялась, и он не соглашался ограничиться лишь смертным бытием.":::-Саммерион 8:22",
	""Затем ворота темницы распахнулись. Колени людей подкосились, и они погрузились в отчаяние и безумие, когда Аминион вышел из тьмы. На мгновение Король Аллутар осознал, какое великое зло он выпустил на мир, но, ожидая обещанное бессмертие, он глубоко поклонился перед своим новым господином и поклялся в верности.":::-Саммерион 8:31",
	""Выпущенный на волю бактериофаг распространился по земле. Те, кто умирал из-за него, превращались в отвратительных тварей, охваченных яростью. Они собирались вокруг знамени злого лорда и нападали на своих собратьев, рвали их на части. Только Канторы были достаточно сильны, чтобы противостоять, но многие пали, пока их чуть было не истребили.":::-Саммерион 9:56",
	""Когда битва была проиграна, и надежда утеряна, ночное небо осветилось. Это были золотые колесницы Астари, спускающиеся с горы Дараи, чтобы спасти своих созданий, Атури во главе первого ряда, вооружённый Светоносцем.":::-Саммерион 9:107",
	""Тело Аминиона было разрезано на четыре части и отправлено в разные углы мира под охрану ордена Эвери. Его кулон отнесли на вершину Дарая, чтобы быть охраняемой самим Атури.":::-Саммерион 9:157",
	""В качестве наказания за предательство своих созданий, наступит десять зим вместо лет, когда не будет расти ни урожай, ни деревья, и скот погибнет. Города Аллутара будут погребены песком и грязью, его имя исчезнет из истории, а его душа будет проклята на вечность во тьме вместе с Авериями.":::-Саммерион 9:169",
],
